"","PA-0M-4","PA-0M-6","PA-0M-7","PA-0M-8","PA-5M-4","PA-5M-6","PA-5M-7","PA-5M-8"
"rplL",15.3938887078293,16.334547485687,15.1560133416539,15.0305463532091,15.3028018589167,18.0886731151431,17.2759364589708,15.8515329169822
"rplM",15.7611599109062,15.7760137237,15.4079120963484,15.7198270874559,15.3307229990788,16.8201070237264,16.4797442594354,15.7100497959702
"rplN",15.4424471584429,16.5296896035451,15.2611490147621,14.9916464112259,15.4681407258811,18.0986238281978,17.537358002239,16.1564272888695
"rplO",15.6958542421291,15.8780415769049,15.3033894772261,15.7838351565253,15.0990982076711,17.5572128013699,16.3503105486724,15.3642762352524
"rplP",15.4320848149566,16.4414284270593,15.1971197387907,15.1172053924049,15.4474135610258,17.9403961321655,17.3311167899642,16.1527770937133
"rplQ",15.6169459591724,16.0937561993416,15.4718881636251,15.4193944531945,15.2858502555924,17.4727502976665,17.0785276623001,16.0450570410787
"rplR",15.620028077544,15.7148615838366,15.2776992348202,15.6808717378058,15.1681119773806,16.9946181534335,16.2480976024017,15.4010111379442
"rplS",14.6041817960043,14.9064859928491,14.3519498141323,14.5470433914769,14.2208664460831,16.2351501092879,15.7209764584362,14.5781512810975
"rplT",16.7994621523139,17.5895657917263,16.7861123903574,16.7124579243793,16.6434524469264,18.7236202798492,18.3061996641585,17.1649115243416
"rplU",16.10068644167,16.2434586956058,15.9496682966724,16.1133952473076,15.663667928984,16.8756500071372,16.8184333365453,16.0641289179596
"rplV",14.8651905740709,15.6723342848103,14.4931430293343,14.6706470483292,14.8893926634423,17.2474901824665,16.7808200255601,15.6368465363788
"rplW",13.9519917391471,14.2876874181567,13.4823128421041,13.9307545547236,13.862110441174,16.0792021215643,15.2753796832691,14.3152809966198
"rplX",14.5376535520561,15.6452658420979,14.4277666499117,13.9333148343407,14.6633363250538,17.265432164935,16.7633150245562,15.3389617062767
"rpmA",14.8030637705354,15.1058282548266,14.6453850903927,14.7047647512372,14.444154941052,16.1968222805636,15.4842192218548,14.5374394358453
"rpmB",15.0944827322487,15.7374073155411,14.8797366592328,14.773769609268,14.9413106350457,16.7728421770657,16.5874305725435,15.4496090548598
"rpmC",14.0786471290044,15.0340271455015,13.7775825943439,13.775993968781,14.1306374832598,16.5141024776049,15.9834128262653,14.8768131823496
"rpmD",14.484472785141,14.8111785956914,14.1744734435851,14.6553758071562,13.9370888993764,16.1455375100689,15.3492290089586,14.2369430920966
"rpmE",14.414513779356,14.8797270302837,14.2714945468984,14.2486838900198,14.328787082458,15.3475757106252,15.4656270815167,14.6113103142013
"rpmE2",10.3224368259457,9.60913539260367,10.9290637653473,10.1716981898025,9.96075942680542,9.55113045461264,10.2807157642892,10.9090852814146
"rpmF",13.8072240833002,14.1264246771663,13.5534529403589,13.6673055710258,13.6787115446703,15.1987665706254,14.572386044363,13.8516508261261
"rpmG",12.6786616078062,13.3696260130383,12.6438167618821,12.5100259537492,12.7304784347135,14.8725822849594,14.0877773720056,13.006401268564
"rpmH",13.935907755942,13.9532463036294,13.9942224967788,13.8244288723367,13.4730733743843,13.8931168267007,13.7245263981806,13.6493083267393
"rpmI",15.88516990213,16.6965132282254,15.9683583106591,15.7775796378568,15.9462624162528,17.591964944651,17.5719957197289,16.5900561125311
"rpmJ",14.0202836726608,14.8167378731739,13.8233948963087,13.9289596516976,13.8543396300759,16.2728519324529,15.4881980711697,14.5038787461015
"rpmJ2",9.14973977653697,8.75826319132897,9.33847621533666,8.98781855590694,8.9321446133268,8.77561948471472,8.95656790974077,9.27389856462701
"rpoA",16.4529556603147,16.8321273531772,16.2481199950692,16.352312537588,16.1181005212493,18.1107636795386,17.5152239800807,16.7636370851899
"rpoB",17.6895530300046,18.1792124614935,17.754147802226,17.4835617590047,17.6791711474701,19.2234745996006,18.8397118790777,18.1720173495446
"rpoC",18.0032022729292,18.69163438457,18.1589882675806,17.6757120043063,18.0976425220555,20.0005588134732,19.6376915701196,18.3295473070253
"rpoD",17.0032503442875,17.0848811267331,17.0792726758178,17.0592891954724,16.6639261919216,16.8981924088068,17.2484052107151,16.8661501299421
"rpoH",16.1105337888906,16.3689031881984,16.3369412014581,16.2502712721858,16.1732990263409,16.5460096677748,16.6740082105075,16.3332873151164
"rpoN",16.0674398674883,16.4687181914011,16.3112163327119,15.9250357636218,16.0801075949137,16.40079167739,17.0300178852514,16.40965723506
"rpoS",15.9393442540433,16.1920252087727,16.3142605361053,15.8608993584326,15.8942887562503,16.1766830692821,16.6575245571518,16.2793829302071
"rpoZ",14.5281549342246,14.6699089651301,14.8711134322842,14.5779697980084,14.4482476442173,14.5506289866358,14.85798399013,14.6290211833379
"rpsA",17.5953884410339,17.3924038672437,17.3815076267595,17.7774233066158,17.2708797116992,17.9255253405866,17.4533125752521,17.5690606699816
"rpsB",16.5153144310017,16.8470302766199,16.2792880733576,16.3095620637292,16.1619986166642,18.0273584595575,17.7481777664214,16.5859339829995
"rpsC",16.4247566020596,17.1572958000051,16.0442897150317,16.1669711497872,16.3586239794675,18.6262889301236,18.2942265976927,17.14316172582
"rpsD",15.9955461645806,16.4938326516167,15.7798904420957,15.8789635542248,15.5765471443739,17.7750148127626,16.95095974224,16.143840858795
"rpsE",16.5347443613347,16.6440975609026,16.1940967198583,16.6083632574239,15.9682047700765,18.0763218509834,17.2740986757151,16.2888094697726
"rpsF",15.6531375270683,16.1189792925343,15.3555785042461,15.4432128673018,15.431869834866,17.4263887789792,17.0853225823483,15.8983881422328
"rpsG",16.25619378647,16.5873601790888,16.0076018984371,16.1581515009073,16.0090729522812,17.805153600464,17.4684361669561,16.537033180436
"rpsH",15.2763676177517,15.4509069341782,15.1343988279409,15.3593230280729,14.9630518892568,16.5766007625145,15.6070980327539,15.1646536333309
"rpsI",14.5568009076984,14.590940966284,14.0981656374655,14.7537746523771,14.0179592346945,16.1073806543613,14.8714016137832,14.2031066927129
"rpsJ",15.1020165350848,15.6287537440711,14.843477606049,15.0876298737612,15.082055824123,17.1200448044073,16.0423577251742,15.3584249642755
"rpsK",15.2793202852767,15.7843622204085,15.0496390507093,15.0750868838142,15.0345656656108,17.0418259981591,16.6252957297495,15.7499170560827
"rpsL",15.9583578283855,16.4738226545376,15.7714113407963,15.7304407509931,15.8475121291041,17.5591310224682,17.3797712674842,16.39112921386
