"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PA2643_nuoH_at",-2.1051600321476,3.78476427208916,-13.6926257670067,1.41003944578132e-09,7.38544773584618e-08,12.3624161020699
"PA4219_at",-3.0537840316862,5.45556506473207,-13.6831937300163,1.42298484853272e-09,7.38544773584618e-08,12.3530589883025
"PA2755_eco_at",3.31679173360828,5.19773802117188,13.5688641908526,1.59037673240195e-09,8.16451011645047e-08,12.2391578180927
"PA3617_recA_at",2.13023356960447,6.54321844168495,13.551935032135,1.61689520797154e-09,8.21139362069849e-08,12.2222163499664
"PA4225_pchF_at",-3.19409420264558,5.39589489220873,-13.4974130133485,1.70555079958477e-09,8.50605844375891e-08,12.1675209979526
"PA5008_at",-2.47400001550231,4.25768459297961,-13.4941984463524,1.71093701494198e-09,8.50605844375891e-08,12.1642898246288
"PA0892_aotP_at",-2.09312515233222,5.61346171503477,-13.4572517612192,1.77416129039482e-09,8.72850393180704e-08,12.1271010352343
"PA5369_at",2.55454924012141,6.33066538314944,13.3987289780368,1.87945448248317e-09,9.15119950594641e-08,12.0680011274544
"PA0770_rnc_at",-2.16334334248338,5.58946570252662,-13.366727609238,1.93982879730319e-09,9.34878715271731e-08,12.035583303893
"PA3990_at",2.45086721282282,6.34319181894735,13.2171505395159,2.25073340624843e-09,1.05925365547191e-07,11.8831055272298
"PA1787_acnB_at",-2.28195579448282,6.21839415801102,-13.1910664007756,2.3101853648777e-09,1.05925365547191e-07,11.8563533336034
"PA4825_mgtA_at",2.13896510338007,2.85574810532459,13.1907781819066,2.31085155232528e-09,1.05925365547191e-07,11.8560574621538
"PA4710_at",-3.30114923112826,4.89311316302394,-13.1825408831543,2.32997794834711e-09,1.05925365547191e-07,11.8475989468814
"PA3730_at",2.52620182968949,5.47824468811176,13.1815884395712,2.33220030240155e-09,1.05925365547191e-07,11.8466206125767
"PA3008_at",2.0656028926929,3.64757058016582,13.1729441635378,2.35247368531108e-09,1.05925365547191e-07,11.8377383922628
"PA3351_at",2.36212193191378,9.52198501424457,13.1719175694201,2.35489379260112e-09,1.05925365547191e-07,11.8366831851571
"PA4269_rpoC_at",-4.89770828919207,7.26585209356818,-13.1414454066765,2.4279504258528e-09,1.080647484751e-07,11.805327363515
"PA0922_at",2.29405264594901,6.07033058538422,13.1331650779859,2.44821682973442e-09,1.080647484751e-07,11.7967954152451
"PA0913_mgtE_at",2.12556268361049,6.00615395252867,13.1186464735535,2.48418781210402e-09,1.08637213301549e-07,11.7818237391909
"PA3635_eno_at",-2.75480709596134,5.47669639130618,-13.0569703579173,2.6433899010478e-09,1.14538811950906e-07,11.7180536672756
"PA5163_rmlA_at",-2.27163140535294,5.52700838085872,-13.0233357640276,2.73475758017692e-09,1.17420545919778e-07,11.6831612048048
"PA4465_at",-2.85638452060812,6.34552971493137,-12.9947805613051,2.81496767889737e-09,1.19477933346343e-07,11.6534735665167
"PA0456_at",2.11190565683707,7.77666305994959,12.9883866785088,2.83326879838882e-09,1.19477933346343e-07,11.6468179762183
"PA4574_at",2.05321528723147,3.69378585949215,12.9601727808364,2.91555152338875e-09,1.21859733141284e-07,11.6174136039047
