"Gene","Locus_Tag","logFC","adj.P.Val"
"PA4336","PA4336",1.2906318536623,2.23562147398025e-05
"mapZ","PA4608",1.2002168690148,2.2381200245967e-05
"flhF","PA1453",1.48765023872358,2.2400435295257e-05
"PA0529","PA0529",1.25161112614296,2.25655876091961e-05
"PA0277","PA0277",1.51119560187605,2.33732828705455e-05
"rpsF","PA4935",1.55056743243517,2.35044868499594e-05
"nadA","PA1004",1.10251724973408,2.51741276525974e-05
"fdx1","PA0362",1.29874645826565,2.62940665549033e-05
"PA0042","PA0042",1.25371465838491,2.62940665549033e-05
"PA3260","PA3260",1.48268617791553,2.70109580770006e-05
"PA2274","PA2274",1.49705107470177,2.70944257113035e-05
"PA5182","PA5182",1.178434215068,2.70944257113035e-05
"PA2281","PA2281",1.39880466450935,2.77000511618534e-05
"PA5523","PA5523",1.38344926648052,2.77539492140613e-05
"PA1839","PA1839",1.26422343305066,2.77539492140613e-05
"PA4013","PA4013",1.20406066963226,2.77906533577018e-05
"PA1296","PA1296",1.56835891439707,2.8185317949277e-05
"PA0862","PA0862",1.23014159829111,2.83389829282336e-05
"cycB","PA5300",1.14698721322836,2.88522257999302e-05
"PA2769","PA2769",1.17972508830964,2.90615609416948e-05
"rpmG","PA5315",1.63916011189041,2.92038583067616e-05
"PA3684","PA3684",1.64142223052564,2.95595968910142e-05
"PA1965","PA1965",1.18934688150188,2.98574178491773e-05
"PA0868","PA0868",1.35043684004413,3.01747224570563e-05
"PA2748","PA2748",1.50828368019233,3.03077012629884e-05
"hfq","PA4944",1.15286430322973,3.3279844765532e-05
"exoT","PA0044",1.30746428014338,3.33559775098229e-05
"colR","PA4381",1.17998449798758,3.60651403206318e-05
"PA0810","PA0810",1.4362173254794,3.61322195048434e-05
"PA4324","PA4324",1.43886909486076,3.63689275393694e-05
"PA2860","PA2860",1.53128754585299,3.65418528768398e-05
"ig_194","ig_194",1.21080432405701,3.74691504451209e-05
"PA1545","PA1545",1.11818429677465,3.79519714275822e-05
"PA0055","PA0055",1.13432334644645,3.96292112304182e-05
"PA0359","PA0359",1.40195497177138,4.41632197252186e-05
"arsR","PA2277",1.17824568608629,4.64169737008213e-05
"PA3965","PA3965",1.34168246798965,4.75921738955528e-05
"PA5347","PA5347",1.16861798071203,4.75921738955528e-05
"PA0978","PA0978",1.08626338488187,4.82566963448652e-05
"PA5333","PA5333",1.42387323080282,4.87426829471668e-05
"PA2712","PA2712",1.63857245251606,4.94370736255366e-05
"PA3962","PA3962",1.49058140297355,4.95563219640595e-05
"PA3966","PA3966",1.60327713334767,5.02270357667916e-05
"PA0953","PA0953",1.06939550028168,5.1020509912038e-05
"PA3341","PA3341",1.10056966098515,5.10883977501484e-05
"ispA","PA4043",1.22847002694474,5.16674996659122e-05
"PA2737","PA2737",1.31377661704891,5.24296411054693e-05
"osmE","PA4876",1.85206185277372,5.35295159400245e-05
"pauC","PA5312",1.68289939941733,5.4538770418013e-05
"sicX","PA1414",1.19681097896234,5.57777956159683e-05
"PA3129","PA3129",1.46881534356095,5.7159519119765e-05
"galU","PA2023",1.49146163528016,5.79191125523094e-05
"mvaU","PA2667",1.46742145940249,5.79191125523094e-05
"PA3414","PA3414",1.56529419962093,5.85725378271432e-05
"PA0489","PA0489",1.06244380887634,5.90845755688217e-05
"mexR","PA0424",1.51746276731867,6.37418223194234e-05
"fklB","PA4572",1.13500992676146,6.45179374550972e-05
"dbpA","PA0455",1.0955855469498,6.55703525104696e-05
"PA1654","PA1654",1.12531666071783,6.8938649893918e-05
"PA2481","PA2481",1.34927020021478,6.9334159059862e-05
"PA1206","PA1206",1.07945338247584,7.34194236428924e-05
"PA5305","PA5305",1.03427501231845,7.34194236428924e-05
"PA3317","PA3317",1.17414028552436,7.45366400668579e-05
"PA1297","PA1297",1.22878214896343,7.61360634366031e-05
"algP","PA5253",1.04008833002712,7.93650605815779e-05
"PA5061","PA5061",1.12732857697058,8.21274556172056e-05
"PA1116","PA1116",1.17236740636041,8.2176640312502e-05
"PA1729","PA1729",1.18562180935393,8.28180738689812e-05
"PA5180","PA5180",1.50057430981205,8.4647527443215e-05
"PA5491","PA5491",1.24879156415234,8.4647527443215e-05
"cheR1","PA3348",1.21591330402708,8.55542605819454e-05
"mucB","PA0764",1.1485653908843,8.55542605819454e-05
"PA4389","PA4389",1.09656959124438,8.55542605819454e-05
"lrp","PA5308",1.25647329109344,8.5679459097925e-05
"PA2840","PA2840",1.20571581281001,8.67018992034875e-05
"bauR","PA0133",1.42554757656979,9.06856410076417e-05
"betI","PA5374",1.73697161219402,9.26563201737657e-05
"creB","PA0463",1.43991888005284,9.26563201737657e-05
"bosR","PA1607",1.40519837759126,9.36019985903922e-05
