"Gene","Locus_Tag","logFC","adj.P.Val"
"opr86","PA3648",-2.11685600094475,5.47613902505071e-06
"lytB","PA4557",-1.51423594564557,5.47613902505071e-06
"pvdJ","PA2400",-1.98990832209338,5.54949185267204e-06
"PA3413","PA3413",2.05494190973504,5.62764912049372e-06
"rubA1","PA5351",1.89798645575988,5.67343435598924e-06
"rppH","PA0336",1.40470811878432,5.67343435598924e-06
"PA2630","PA2630",-2.44288378556249,5.72001136769433e-06
"hcnB","PA2194",-1.8504388290171,5.76874522534346e-06
"PA5340","PA5340",-1.81619425900714,5.86789477103981e-06
"dut","PA5321",-1.42957883177216,5.90746852082166e-06
"PA3370","PA3370",1.8131359676198,5.91700620890261e-06
"pqsD","PA0999",-3.23860230496463,5.92052458307124e-06
"PA4321","PA4321",-1.72928629258107,5.92052458307124e-06
"glnS","PA1794",-1.51641595825994,5.92052458307124e-06
"rph","PA5334",1.42042915620514,5.93275216463505e-06
"atpC","PA5553",-3.30197177770462,6.02387836288256e-06
"PA0389","PA0389",-1.41762062765045,6.07136666407795e-06
"ponA","PA5045",-1.74800940024773,6.07847196784531e-06
"PA5482","PA5482",3.08544733559081,6.24677527948834e-06
"PA3664","PA3664",1.61942103067862,6.24677527948834e-06
"PA1377","PA1377",1.39860520484619,6.33912373229891e-06
"PA2915","PA2915",1.38749134138765,6.36139245573201e-06
"dapB","PA4759",-1.88444562091812,6.48430182324352e-06
"fliE","PA1100",2.11379089666523,6.4941217673883e-06
"PA4874","PA4874",1.39828681184883,6.63374664006756e-06
"phzF2","PA1904",-4.13505345781014,6.64094605378121e-06
"glnA","PA5119",1.40374496188218,6.66115996458354e-06
"PA3332","PA3332",-2.54415135184703,6.67333849011549e-06
"gdhB","PA3068",-2.3328467989078,6.73018102232746e-06
"argJ","PA4402",-1.67203662612574,6.90879476275382e-06
"PA5062","PA5062",1.49555294456742,6.92879511696666e-06
"dnaE","PA3640",-1.55527154709365,6.95619302063397e-06
"cc4","PA5490",1.32085040153579,6.96491790755042e-06
"PA3662","PA3662",1.60524165424206,7.01331916983785e-06
"PA3804","PA3804",-1.80155386230085,7.0710754183593e-06
"PA4325","PA4325",1.51946835976232,7.0710754183593e-06
"pilO","PA5042",-1.73832220080824,7.2087369206369e-06
"carO","PA0320",2.07103870704389,7.58283038284178e-06
"PA1428","PA1428",1.96991869555108,7.58930851132227e-06
"lipB","PA3997",-1.56711028473729,7.59768949859776e-06
"trxA","PA5240",1.54122237860406,7.6667657691194e-06
"lolB","PA4668",-1.49579966279243,7.6667657691194e-06
"trmA","PA4720",-1.44707864197601,7.68116503609859e-06
"PA2288","PA2288",1.42364767979123,7.68116503609859e-06
"holA","PA3989",-1.81387518000064,7.70395270976474e-06
"wapH","PA5004",-1.64861147679188,7.71016404851883e-06
"PA1459","PA1459",-1.43425177505303,7.85104311596607e-06
"PA4965","PA4965",-1.78859321624216,7.8901717944746e-06
"PA4573","PA4573",1.47377267196631,8.06227275441602e-06
"xseB","PA4042",1.74438205872146,8.12256236378135e-06
"pabC","PA2964",-1.55334382484016,8.16386619776511e-06
"PA0563","PA0563",1.60283748699693,8.42327401328641e-06
"pilN","PA5043",-1.33295040924176,8.42327401328641e-06
"crc","PA5332",1.8441615155777,8.60756922255893e-06
"ilvC","PA4694",-2.08778273359651,8.62813813312967e-06
"PA1767","PA1767",-1.81120532653596,8.75555694468569e-06
"PA0506","PA0506",-1.3771481292562,8.77624350839442e-06
"rpmB","PA5316",1.27811115386367,8.89249114072668e-06
"tssB1","PA0083",-2.40818729149174,8.97248766627346e-06
"PA4738","PA4738",1.99067265031816,8.97248766627346e-06
"PA5227","PA5227",1.31239323447487,8.97248766627346e-06
"chtA","PA4675",-1.70841177576051,9.20373008439664e-06
"hisG","PA4449",-1.8916470072961,9.42150318087849e-06
"pilQ","PA5040",-1.44883899981672,9.56091361773724e-06
"cysS","PA1795",-1.95642707870477,9.57799047162858e-06
"PA4639","PA4639",1.68212910732366,9.66734947466917e-06
"nrdA","PA1156",-1.66565688199305,9.69259234704192e-06
"PA1241","PA1241",1.23527206112187,9.78022281909347e-06
"pppA","PA0075",-1.68039781642121,9.81543244081021e-06
"pvdE","PA2397",-2.36354977861473,9.85069483460493e-06
"nuoM","PA2648",-1.91447082434123,9.86758472725594e-06
"PA4015","PA4015",1.91089493891149,9.86758472725594e-06
"flgB","PA1077",1.5851208488897,9.91066070266963e-06
"rpsK","PA4240",-2.29759641496745,9.9310886039656e-06
"pscE","PA1718",-2.27742738143914,9.9310886039656e-06
"moeB","PA4663",-1.27079745311189,9.9310886039656e-06
"phnB","PA1002",-3.21142936551436,9.93433017487414e-06
"ppkA","PA0074",-1.52774729544802,9.93433017487414e-06
"mexS","PA2491",1.57586084192867,9.93748369850041e-06
"tyrS","PA4138",1.74699690283568,9.94165065362353e-06
"prfA","PA4665",-1.51705639947026,9.94202138653472e-06
"PA1749","PA1749",1.39396881872655,9.96031819137603e-06
"ig_289","ig_289",1.31656511825744,9.99005140313855e-06
"ubiG","PA3171",-1.35998462194819,1.00766342669835e-05
"rpsM","PA4241",-2.00877277153409,1.06261949037535e-05
"PA1012","PA1012",-1.60004870769663,1.06261949037535e-05
"mexB","PA0426",-1.57536088420186,1.06261949037535e-05
