"Gene","Locus_Tag","logFC","adj.P.Val"
"xcpT","PA3101",-1.05723654646152,9.36411221592576e-05
"wspD","PA3705",-1.08122488015355,9.51049262584083e-05
"PA5339","PA5339",-1.70119167215886,9.5621169005355e-05
"ftsX","PA0375",-1.64328865341517,9.58411295394933e-05
"atpE","PA5559",-1.46205870716617,9.70878959003372e-05
"PA5022","PA5022",-1.52974279427934,0.000101964082535727
"PA4371","PA4371",-1.21917876939349,0.000103263015898179
"ccoP2","PA1555",-1.93339856527875,0.00010546248622588
"lepA","PA0767",-1.30434291516201,0.000111405694939999
"braF","PA1071",-1.24026253831111,0.000111405694939999
"dnaJ","PA4760",-1.67087624021903,0.000113748141453555
"magD","PA4489",-1.028859365318,0.000115691784439379
"PA1533","PA1533",-1.27658865536539,0.000117067964850784
"prfC","PA3903",-1.14763610645491,0.000118821363677597
"phzB1","PA4211",-2.47462089696346,0.000119501660860364
"pvdA","PA2386",-1.95669770483971,0.000127354257639512
"PA0429","PA0429",-1.36563325394571,0.000128240787567484
"PA4458","PA4458",-1.20438347335398,0.000128240787567484
"dapD","PA3666",-1.15146411897481,0.000128240787567484
"folP","PA4750",-1.06234932590838,0.000135737211687601
"fdx2","PA3809",-1.7630176480574,0.000141694034271781
"tli5","PA3488",-1.53237560629008,0.000141731568507446
"prpC","PA0795",-1.50674169512975,0.000142332197030453
"pyrH","PA3654",-1.14810796109232,0.000142332197030453
"spuD","PA0300",-1.1559580944021,0.000156880380599418
"gcvH2","PA2446",-1.24200204389942,0.000158239630675447
"mksF","PA4684",-1.03245342412035,0.000159276906047962
"ispB","PA4569",-1.04679401682791,0.000162833212598821
"uvrA","PA4234",-1.12644228079562,0.000164685838306399
"liuC","PA2013",-1.2758870111983,0.000168420857358684
"uppS","PA3652",-1.18788626867039,0.000170059598880185
"vgrG4a","PA3294",-1.14118492458871,0.000170828270502443
"lldP","PA4770",-1.07599656040574,0.000181212880317826
"argR","PA0893",-1.35985138726446,0.000186457309525685
"sdhC","PA1581",-1.12547329496714,0.000189434151847536
"pscQ","PA1694",-1.27337436189111,0.000190495778537
"PA5074","PA5074",-1.12440988968193,0.00019631419642589
"PA0392","PA0392",-1.22111885483048,0.000197719487989523
"pilR","PA4547",-1.24404965537928,0.000206501800425337
"PA4319","PA4319",-1.03389853082499,0.000207785574129169
"nppA1","PA1811",-1.07751326835095,0.000210156955145316
"ilvH","PA4695",-1.70480918359852,0.000211224019288436
"flgL","PA1087",-1.14674003482528,0.000215652010102058
"tssJ1","PA0080",-1.1639459690104,0.000218203383518312
"PA0900","PA0900",-1.11912319919142,0.000220187405891904
"opmQ","PA2391",-1.46828195524298,0.00022159344140997
"PA5052","PA5052",-1.09471167125475,0.000223832080108635
"mutY","PA5147",-1.19258498119077,0.000229409856629567
"nppC","PA1808",-1.17601770575973,0.000230275633970239
