"Locus_Tag","Gene_Name","logFC","AveExpr","P.Value","adj.P.Val","B"
"PA2584","pgsA",0.469291480755492,3.84301427091301,0.0165075005857379,0.0392177692487123,-4.35333277160542
"PA3782",NA,0.438371494988732,4.08416997351126,0.0165354499010898,0.0392644192472836,-4.35496890799359
"PA3737","dsbC",0.451256081509984,6.56477794179598,0.0165481941208383,0.0392749350918188,-4.35571400191774
"PA3397","fprA",0.531633243487152,5.46012045293878,0.0166324935391138,0.0394429794273136,-4.36062775405392
"PA4666","hemA",0.472611402162348,4.97988370790483,0.0166357008298134,0.0394429794273136,-4.36081419785697
"PA3492",NA,-0.552815045151752,3.60925418839562,0.0166642204414712,0.0394907742825231,-4.36247045197439
"PA3042",NA,0.621669315533756,5.72615519627824,0.0168003202722515,0.0397860680031106,-4.37033434204837
"PA0514","nirL",-0.538243594392816,4.08626698584106,0.016805675559222,0.0397860680031106,-4.37064242889163
"PA5296","rep",0.465034114113616,3.40776523402533,0.016894547661219,0.0399764271562812,-4.37574048106661
"PA4404",NA,0.507338081701351,4.94192594186165,0.0169290464266322,0.040038000136697,-4.37771202587666
"PA0814",NA,0.551531492774893,3.22182996846338,0.0169798433975264,0.0401380382214801,-4.3806074636785
"PA3131",NA,0.567753421409644,3.88783352970669,0.0170230035536295,0.0402199328583253,-4.38306059774235
"PA3944",NA,0.634194729883584,4.57241249698582,0.0170675413126554,0.0403049988098357,-4.3855853229308
"PA0589",NA,-0.496261764608565,6.0140290160949,0.0172286250213705,0.0406650654552387,-4.39466038364816
"PA0226",NA,0.526540801483788,3.02760539043312,0.017252428824375,0.0407009097590025,-4.39599401257225
"PA2000","dhcB",0.607143607949649,6.4904294951363,0.017318773512648,0.0408370281079562,-4.39970104825133
"PA2455",NA,-0.505535849305602,4.28888492342304,0.0174408917196142,0.0411044568821048,-4.40648634871405
"PA0549",NA,-0.585921120153248,3.60463239680239,0.0175160193270603,0.0411787751526658,-4.41063640799614
"PA2651",NA,0.572675391195141,4.82245633970586,0.0174904163966787,0.0411787751526658,-4.40922416286366
"PA4156","fvbA",-0.570519615956419,2.9819723231401,0.0175058164054226,0.0411787751526658,-4.4100738749808
"PA1089",NA,-0.469976884018386,4.17932985046615,0.0175098968839463,0.0411787751526658,-4.41029889067603
"PA5349","rubB",0.441588786520643,3.61427135470116,0.0174920606828673,0.0411787751526658,-4.40931492489433
"PA2113","opdO",-0.443342449429233,3.44500232016255,0.0175449030453369,0.0412261577527991,-4.4122270679326
"PA4304","rcpA",0.4548718605889,3.99806411941101,0.0176274372474591,0.0413994958327943,-4.41675748955292
"PA1657","hsiB2",-0.937115236858588,3.66436716698276,0.0176641925834973,0.0414651995883985,-4.41876801073426
"PA4522","ampD",0.554647752197221,3.1387971909852,0.0176827688286733,0.0414881853839164,-4.41978249359438
"PA5278","dapF",-0.68644220018276,4.37642845692663,0.0177229260058363,0.0415617574605586,-4.42197180135417
"PA2556",NA,0.612818868220982,4.0293487306167,0.0178047709841106,0.0417329694084141,-4.42641807488943
