"","GSM252496","GSM252501","GSM252505","GSM252506","GSM252507","GSM252508","GSM252559","GSM252560","GSM252561","GSM252562"
"PA5302_dadX_at",4.38323430697314,4.02029938952293,4.13679835772186,4.11681971531094,4.0737950441383,4.37061588972685,4.56264135978948,4.46045957966683,4.31355727528438,4.18204518473953
"PA5303_at",3.08384551945289,3.26747969805995,3.07965849276897,3.24194909024769,3.76252462404662,3.24537726480267,3.68207561400081,4.18457830794122,3.96766802282111,3.58192833279642
"PA5304_dadA_at",5.03624029720075,5.24668096730611,4.84142714624564,6.53902720952745,7.02092936958731,6.98163098732477,6.43645115310564,6.09642060321484,6.25898133269356,6.26264094294622
"PA5305_at",3.66711171363312,3.78867099399369,3.8348458892024,4.7202002478022,4.76535203681091,4.90790134917144,6.21171334340768,6.14259473277307,6.12461703710742,5.83314564238055
"PA5306_at",3.04543052254183,3.14452683241067,3.63075394575095,4.11917582271969,5.31843263013275,4.31997354929219,7.30576755523763,7.48351170800414,7.53309656470531,7.09142159105748
"PA5307_at",4.13868141078255,3.99388891278337,4.16984828137841,4.42100821231114,4.47047360584,4.52856152063842,4.77136667449843,4.64708353273607,4.5619440743231,4.32193669035413
"PA5308_lrp_at",3.8336244047942,3.83485155874095,3.49318526782552,5.21898788580842,4.80197672928674,4.91011648954585,5.8010717888315,5.27311211340757,5.297233247693,5.00508243502383
"PA5309_at",3.91611050127588,3.49859420554692,3.74815863670509,4.35314259938878,4.04762197814634,4.07853713394515,3.04471503098276,2.8972137000111,2.83928412265792,2.71809266231385
"PA5311_at",3.09223681600659,2.73231843366098,2.71811814085249,3.17673349014009,2.54582817150978,2.77832838088111,2.01964798855768,2.13395489414043,2.13839224945711,2.02530386826536
"PA5312_at",3.98372227500385,4.13442634079902,3.88626676259447,5.63756405629369,6.12330430130463,5.29224521905102,4.52983497315348,4.94958382255642,4.70090366856532,5.5752112592054
"PA5313_at",3.61537326867771,3.69702645227082,3.68119548950076,4.91053708351267,4.8289156624263,4.34256248748753,3.60291561475048,3.72921154821498,3.34205799296287,3.71087059293817
"PA5314_at",3.27227505944097,3.13138872472832,3.07888370629336,3.50955053611861,2.8764574274061,2.9852443870715,2.78218375879401,2.96605648356335,3.26160420827511,2.96596994624728
"PA5315_rpmG_at",6.33873410704716,6.19727351258489,6.7022012500132,8.43487370418247,7.81768583442418,7.90312966670982,3.64998808606574,4.38464608917045,4.4410717213062,4.47123494743394
"PA5316_rpmB_at",8.85214866923768,8.84161686127026,8.67445006236612,10.0648691151906,10.0918820803532,10.0457978589212,6.70737625382469,6.99070710048882,7.02390449501671,6.92902984303408
"PA5317_at",4.77824051444614,4.74473835797048,4.93070968756015,4.73651670095058,4.55747304632971,4.57803554886643,5.00998784491428,5.24532078252142,4.67503166888791,5.19648403090222
"PA5319_radC_at",3.93043211454048,4.10096231693687,3.75016710217798,4.43935906333155,4.5021472888615,3.96790378575219,4.99660464749805,4.26190114528594,4.77542782979605,4.42189009188071
"PA5320_dfp_at",6.76162932252126,7.02415983363827,7.08572471214644,6.80133528302793,6.36475555675803,6.6370086949079,6.73770646573219,6.73904470456052,6.33693722320529,6.47532841923581
"PA5321_dut_at",5.12196736501243,4.81747858590976,5.14797245243915,3.65710821602378,3.57048469608167,3.57108899593942,4.36718419181796,4.70162619973392,4.6373446924051,4.48939942366352
"PA5322_algC_at",6.16327285071806,6.26581323078273,6.61920944517431,5.21750279773949,5.50521023266703,4.69300188353604,5.31701825159214,5.84993240838605,5.72789789996916,6.69305878063425
"PA5323_argB_at",4.71005855802657,4.62251635127751,4.50425905883908,3.05857980099734,3.19841058033963,3.5153749429118,4.03601986728411,4.31094943660298,4.32827661995753,4.86223262600024
"PA5324_at",3.51457278894773,3.20738797871299,3.11713460503104,3.88437355736517,3.58846549138356,3.70958171048652,3.29920741476693,3.32845262063969,3.50376051250286,3.47070817523587
"PA5327_at",3.44603101782908,3.03037812089973,2.81352008249069,3.52810910016203,2.94039908601586,3.03892896902332,2.60993835985555,2.67216535299528,2.70141892806718,2.59478292150849
"PA5328_at",2.71969340782117,2.9633931941889,2.92952099931506,3.03622679408307,3.42828724730715,3.17873360146859,2.4165464306089,2.19495362323769,2.42942033532914,2.02449858441569
"PA5329_at",3.61527616522911,3.22995336485766,4.01946520950068,4.6954068255283,4.72730310960124,4.35392043457348,5.06421324308838,5.2539909944091,5.34119691412462,4.93617540122088
"PA5330_at",4.1921363874249,4.16716665805286,4.35697452695582,5.47431929278144,5.87171138061847,4.72030573462053,5.06679874200445,4.88084477260607,4.87839555501583,4.86448806748693
"PA5331_pyrE_at",5.67065496896588,5.62484665256773,6.19139616402118,7.49761653676321,7.85626236634795,7.3146810047698,5.59620337261054,5.41087087250734,5.30486600331833,5.3385724396992
"PA5332_crc_at",5.20779041960067,5.67593573101361,5.74279453814097,7.65463218524445,7.6399025619388,6.86447048830511,6.69659685355504,6.74151433070736,6.62008612953509,6.84794536326506
"PA5333_at",3.49466041728742,3.36458311748093,3.55791150929566,4.71556576135592,5.28457154381374,4.68863743130281,3.46222426657448,3.32743742333011,3.17738444788745,3.8187198857149
"PA5334_rph_at",5.58869637532484,5.54313515178662,5.36413264853037,7.00346691729345,6.90832500443712,6.84545972252666,4.57045019687124,4.74331036785926,4.95638065095332,5.35093478086085
"PA5335_at",5.96214394740429,5.71457723748873,5.69025110523052,6.55256257974546,6.5501719572941,5.94703640743663,4.36824500203118,4.88048707479867,4.41285001039253,4.30017742717929
"PA5336_gmk_at",5.73093021957936,5.67472486245135,5.97958106016574,5.43090270245442,5.15599041065781,4.76759576431828,4.31912959719542,4.38014151642333,4.13464083064676,4.4474284579071
"PA5337_rpoZ_at",7.62202464387882,8.04309684147018,7.77757770179897,8.7228074029048,8.76139498707709,8.44922291720891,6.56310621199473,7.008211247008,6.81777221442201,6.65773633879844
"PA5338_spoT_at",8.02037843338027,8.13382936609768,8.13490368972476,7.29762842266773,6.99605333475176,7.00872969234859,6.39262978591219,6.52144457788246,6.671811982169,6.46886400841324
"PA5339_at",4.73341075042863,5.31165629590588,5.16501170614104,3.71327445510667,3.05927709369511,3.33395218719718,4.56026198629675,5.12046293869717,4.67784913616858,5.67757547069688
"PA5340_at",5.49764555888481,5.48403214068471,5.56631875103181,3.48390884764896,3.95609890749027,3.65940591844069,5.89384700017689,5.78277169441814,5.46674994708096,6.32683913865262
"PA5342_at",3.35315547526318,3.08752702775109,3.46199732793718,3.80783641709368,3.64784205328887,3.47742011670959,3.04007731842345,2.67073925873655,2.90029253273783,2.87688454282991
"PA5343_at",4.37642812089695,4.26995274434963,4.13123496451081,4.77584970094536,5.30205445817359,5.12711766420598,4.35373026112647,3.76613349353448,3.98543152079033,4.40343636391263
"PA5344_at",5.15177636340889,5.78426923773034,5.6056850142893,5.55981734687255,5.49970490695417,5.02688777786153,5.53830895062716,5.63957622824027,5.59708200081432,5.47266320969084
"PA5345_recG_at",5.55138974260363,5.22576705831938,5.92423453388775,4.30243233165399,3.92347869779297,4.01666992350593,4.43814431119574,4.72465149159728,4.42693587253034,4.84129186325925
"PA5346_at",5.36518698293792,5.10338459004095,5.11995572305023,4.89553023249954,5.02970582652552,4.57780736669863,7.15015376739056,6.7757822775899,6.56147579839322,6.60061622698351
"PA5347_at",3.5768064320977,3.43459369732624,3.10939971006596,4.53565119460612,4.67325001114327,4.41775257587661,3.5844147981411,3.74156358747044,3.82186137329542,3.90314870244141
"PA5348_at",5.35282529730803,5.45943170296456,5.94638328631677,8.09941015063674,8.2847070138873,7.78565909108612,8.91407685164909,8.92388675444212,8.52891296313635,9.45586140864441
"PA5349_at",3.46532442848256,3.45434835093104,3.12074191546494,3.84143117954703,3.80090440584065,3.72284546905279,3.72702109464562,3.46764935052169,3.67904705691371,3.86340029561155
"PA5350_r_at",6.74343413537124,6.78993363799143,6.48181867718443,7.0445817648659,7.07779184436935,7.27365245470801,6.88735421212222,6.66269266162392,6.76505367609336,6.52717090561966
"PA5351_at",3.8501105005268,4.23284270109471,4.77040517486957,6.3086417716866,6.30170750183818,5.93696847024596,2.66459476964287,2.33746203957352,2.53772495647444,2.48250758188598
"PA5353_glcF_at",3.68487375823488,3.62174629573624,3.69267671440768,3.80034461506758,3.3188365495188,3.6835984482102,3.39960086217914,3.07873559370041,3.00140664161997,3.08632628146239
"PA5354_glcE_at",3.53322545619383,3.64057715950665,3.36366202116154,3.7228733210429,3.33684248816013,4.403510091114,3.02905221701407,2.54170537265097,2.95635685700163,2.92166161403417
"PA5355_glcD_at",2.77704983222935,2.43819159660627,2.891367963054,2.78789287985816,3.21089712576473,3.56642172746475,2.22840952784948,2.00505947152704,2.0131541714665,2.17209617902208
