"Gene","Locus_Tag","logFC","adj.P.Val"
"PA0200","PA0200",-1.20805497275597,0.0370167122020499
"PA3980","PA3980",0.79423035342742,0.0395183485348347
"PA2793","PA2793",0.64247452483534,0.0395183485348347
"PA3741","PA3741",0.798424668835196,0.0403413181684089
"nadD1","PA4006",0.990520190883052,0.040447590878543
"PA1440","PA1440",0.858854524877319,0.040447590878543
"rpoD","PA0576",1.52636530281669,0.0408827870224754
"infC","PA2743",0.584673911686664,0.0418219227431299
"pilD","PA4528",-0.52306134031431,0.042355574930982
"tpiA","PA4748",1.31595835897008,0.0426020694491146
"nuoH","PA2643",-0.5873680226285,0.0426020694491146
"tsf","PA3655",0.791417195669846,0.0452779698032261
"vgrG4","PA2685",0.522033747091259,0.0453323265372566
"arcC","PA5173",-1.62901491881439,0.0459619279048757
"PA3170","PA3170",0.786740247027165,0.0467572625886467
"hupB","PA1804",-1.34501167549896,0.0467918559165124
"oprB","PA3186",-1.24788423609695,0.0469419240084698
"PA4325","PA4325",1.15507065692554,0.0469419240084698
"PA0113","PA0113",-0.648478226480687,0.0469419240084698
"mutS","PA3620",0.619630053717001,0.0469419240084698
"PA1395","PA1395",0.712731207726646,0.0470873688836928
"hepA","PA3308",0.787979957302051,0.047569461038059
"PA1550","PA1550",-0.492981477935396,0.047569461038059
"PA3179","PA3179",0.998067663607207,0.0496016706030615
"bkdB","PA2249",0.869554309303259,0.0496016706030615
"PA1157","PA1157",0.604339456590951,0.0496559766241232
"mmsA","PA3570",0.850235827458595,0.0500702582639292
"nuoI","PA2644",-0.673391185144768,0.0500702582639292
"arcB","PA5172",-1.98969697318507,0.0500931371206672
"tse2","PA2702",0.626735926240617,0.0500931371206672
"pyoS5","PA0985",2.08538721637188,0.0505215671721873
"PA1356","PA1356",-0.53211066306898,0.0505215671721873
"peptide chain release factor 2(prfB)","PA3701",1.17427093986374,0.0511133838566911
"PA0713","PA0713",-1.09772619232433,0.0511133838566911
"lepB","PA0768",0.442704209372803,0.0512114980273515
"PA3613","PA3613",-0.792377492244437,0.0514506634584294
"PA3731","PA3731",0.778500707355464,0.0521746138782274
"PA4004","PA4004",0.696917583744339,0.0521746138782274
"PA2930","PA2930",0.70215340347561,0.0529080655055923
"PA3806","PA3806",0.888873676565961,0.0541040434657576
"purB","PA2629",1.23595896411612,0.056191086671429
"rpmI","PA2742",0.724470314432009,0.056191086671429
"alpA","PA0907",1.77322622697909,0.0562811395352697
"PA2274","PA2274",-0.798439988283452,0.0562811395352697
"cbcW","PA5377",-0.584922084158798,0.058207582257018
"PA3850","PA3850",0.554762624479135,0.0589892370986883
"pheC","PA3475",-0.569306820096577,0.0631720590335246
"PA2379","PA2379",0.884865400999432,0.0645302080611354
"nuoL","PA2647",-0.712477655628616,0.0652449210958708
"mvaT","PA4315",-1.20000232100173,0.0653370979234517
"magA","PA4492",0.468519360736945,0.06549325873034
"nudC","PA1823",-0.394937820017903,0.0663841334333422
"PA1746","PA1746",-1.54311158692618,0.0678670261868492
"atpD","PA5554",-1.21237948365452,0.0686435114794268
