"Locus_Tag","Gene_Name","logFC","AveExpr","P.Value","adj.P.Val","B"
"PA2063",NA,0.114384438841188,7.50383686314673,0.404455853196641,0.711687901538975,-7.24823075752797
"ig_565",NA,-0.0874271506096456,7.02527026066534,0.404815827816362,0.71210893980815,-7.24885779517388
"PA1347",NA,-0.127366643122986,7.17764689080178,0.404939868861164,0.712114821544223,-7.24907367327951
"PA0609","trpE",0.134653762033663,8.01245316570978,0.405780341305552,0.713380218624183,-7.25053387510873
"PA1753",NA,-0.334442773749895,9.14021571368969,0.405999318186665,0.713552569943796,-7.25091359183639
"PA4259","rpsS",0.225854242375094,11.751552957222,0.406281181875224,0.713835310620554,-7.25140191740436
"PA4580",NA,-0.134104172561681,8.38081961866814,0.406480418362151,0.713972750323517,-7.25174679387998
"PA2860",NA,0.238662947768484,7.9026592320647,0.406659694054961,0.714075058013176,-7.25205690735961
"PA2846",NA,0.0958571856058281,8.15432107934469,0.407100727690416,0.714211802965643,-7.25281896342422
"PA3693",NA,-0.0942472036756383,7.58775148695427,0.407037640541262,0.714211802965643,-7.25271002998988
"ig_520",NA,0.0883826650643869,8.35631687012443,0.406925292699427,0.714211802965643,-7.25251597630639
"PA5134","ctpA",0.161632392734099,8.49332509468516,0.407234862166209,0.714234746367607,-7.25305049321124
"PA0565",NA,-0.243983101983998,8.0883837521733,0.408455683145949,0.714817040468799,-7.25515263688561
"PA3568",NA,0.195606090259069,8.12850385543882,0.408640452049224,0.714817040468799,-7.25546999067127
"PA3686","adk",0.188230673732631,8.34004912877731,0.407933736429417,0.714817040468799,-7.25425501882582
"PA3132",NA,-0.164463351900892,8.66421587415784,0.40787669479322,0.714817040468799,-7.25415681950243
"PA2542",NA,-0.128517841964724,8.33897885143946,0.407991100757269,0.714817040468799,-7.2543537534019
"PA1013","purC",0.108656083564844,9.12474118192845,0.408534606787591,0.714817040468799,-7.25528821960841
"PA2687","pfeS",-0.0925733876233341,8.41318173861956,0.408472937448078,0.714817040468799,-7.2551822812858
"PA1311","phnX",-0.0890859799379156,7.9350107960929,0.408426533630917,0.714817040468799,-7.25510255130084
"PA2100",NA,-0.0821715617882335,7.25950000410512,0.408657267373094,0.714817040468799,-7.25549886175127
"PA1834",NA,0.114395568826621,8.11388753033336,0.409022313451446,0.715243523818474,-7.2561251988903
"PA2592",NA,-0.0773105456323089,7.70629773774877,0.40916854100831,0.715287227244156,-7.25637586269659
"PA3291","tli1",-0.137416813448141,6.86727924923528,0.409496789658307,0.715649010362563,-7.25693806948639
"PA1711","exsE",-0.200558844712186,9.42376236420339,0.410079227726406,0.7162944623336,-7.25793401231798
"PA3959",NA,-0.12386939960497,7.7400862030345,0.410190467785859,0.7162944623336,-7.2581239916203
"PA5365","phoU",-0.0903458232566914,7.71264781993585,0.410230336987328,0.7162944623336,-7.25819206308826
"PA2547",NA,-0.11888941450932,7.37440583099933,0.410783008573704,0.717047263486644,-7.25913467770384
"PA2628",NA,0.103359242601972,8.00521898166638,0.411024948513716,0.717257378358746,-7.25954673444317
"PA3793",NA,-0.168825424108237,8.77040891952133,0.411296415565321,0.717306784462132,-7.26000865547979
"PA0040",NA,0.0800142504686239,8.17865837785087,0.411213812882394,0.717306784462132,-7.25986814844946
"PA3931",NA,-0.29382081351058,10.6085722026242,0.412289852029706,0.717399929246308,-7.26169524262339
"PA1984","exaC",0.286614834707553,9.75011257952034,0.41275067285517,0.717399929246308,-7.26247556148994
"PA4251","rplE",-0.161387714753037,12.7323788637351,0.412739749439695,0.717399929246308,-7.26245707946871
"PA1461","motD",-0.151343113214788,7.8670402615467,0.412808942337494,0.717399929246308,-7.26257413915223
"PA3265",NA,-0.143168342270495,7.26885857964171,0.412268825312056,0.717399929246308,-7.26165960692841
"PA0410","pilI",-0.139387081759031,8.52674624338516,0.411516717725236,0.717399929246308,-7.26038318618493
"PA3587","metR",-0.138579729438899,9.17895424458295,0.412583536040928,0.717399929246308,-7.26219269318463
"PA2564",NA,-0.127980081090705,7.47015251602823,0.411758084606568,0.717399929246308,-7.26079318998835
"PA2480","dsbS",-0.104182226252629,7.50346832991454,0.411869679048808,0.717399929246308,-7.26098263307183
"PA0604","agtB",0.101976134232124,7.64558763230265,0.412755946768949,0.717399929246308,-7.26248448450193
"PA4851",NA,-0.101125334640773,8.80155231105031,0.412756025238582,0.717399929246308,-7.26248461726458
"PA4890","desT",-0.0841456280747037,7.43630179041423,0.412522059047907,0.717399929246308,-7.26208860484221
"PA4371",NA,-0.0804072504180118,8.0121026221844,0.41406605741886,0.71937271459696,-7.26469588397916
"PA3302","phaJ1",0.0751910995885794,9.05471649631247,0.414467547937183,0.719858266950068,-7.26537151280891
"PA4140",NA,-0.0999841530009844,7.66316575766801,0.414624531232557,0.719888687486426,-7.26563542162961
"PA5430",NA,-0.0690950598298672,7.91474856490805,0.414729093011247,0.719888687486426,-7.26581112131092
"PA4098",NA,-0.189195687987324,8.36664262559772,0.415041883589865,0.720219739170648,-7.26633632613069
"PA3650","dxr",0.16763388274153,8.32616103892494,0.415165549146089,0.72022250513435,-7.26654381082228
"PA2316",NA,-0.104219948296627,7.69038353806001,0.415337085460415,0.720308290481025,-7.26683146124054
"PA2779",NA,0.34914824331724,10.4155985761641,0.41553313031945,0.720436517450707,-7.26715999505459
"PA1362",NA,-0.34210120385203,9.11472019342968,0.415922255074251,0.720899325774994,-7.26781141491257
"PA1592",NA,-0.131299645014925,13.6827725706931,0.416458469818068,0.721193123547578,-7.26870759567277
"PA0289","gpuR",-0.122555231373198,8.60239582311176,0.416431076446825,0.721193123547578,-7.26866185431293
"PA0507",NA,0.0834263018296273,8.41889298492549,0.416436617307363,0.721193123547578,-7.26867110678306
"PA3156","wbpD",-0.144683118102158,7.93897813975517,0.416695060645713,0.721391096775148,-7.26910246877543
"PA0176",NA,-0.167455463533919,8.87736356574922,0.416845209887619,0.721439348294793,-7.2693528974369
"PA0259","tla3",-0.0986974856496605,8.71270540729543,0.417162998207009,0.721777621531188,-7.26988248459124
"PA0316","serA",0.156436613588829,9.07291902157651,0.41754649307389,0.722229348911156,-7.27052077396815
"PA1053",NA,-0.277187882371511,12.1919328925168,0.417812605906984,0.722266151436041,-7.27096318144281
"PA0830",NA,-0.128161823469394,8.70317161215112,0.417718576643414,0.722266151436041,-7.27080690739652
"PA3356","pauA5",0.0922368239177018,9.10665471270145,0.418004332382213,0.722385928838623,-7.27128166383385
"PA2114",NA,-0.153948258002422,7.26403932590262,0.419039161443332,0.723962240853779,-7.27299690885258
"PA0872","phhA",0.398582949502433,9.94918989386461,0.419678059720765,0.724853791672281,-7.27405275092119
"PA5000","wapR",0.192355725850287,7.65828666680847,0.420233823838397,0.72523775389137,-7.27496926152851
"PA4208","opmD",-0.133934920814546,8.05539526951696,0.420070685600517,0.72523775389137,-7.27470041752179
"PA5291","betT2",-0.0866142981736244,7.16222590186545,0.420269132297389,0.72523775389137,-7.27502742771179
"PA5153",NA,-0.253849041288809,9.25533607645492,0.420447100318825,0.725332716924289,-7.27532049652281
"PA5165","dctB",-0.150271671456977,8.27224048548733,0.420684370958032,0.725529900219933,-7.27571093447792
"PA5326","sphD",-0.0986470190860373,7.64018535163966,0.420911840858296,0.725554772287988,-7.27608493682632
"PA2449","gcsR",0.0956578947212705,7.52604346074486,0.420944743312167,0.725554772287988,-7.27613900956092
"PA2832","tpm",-0.104040089605006,7.91492694275943,0.421158009754418,0.725710355593186,-7.27648934429619
"PA1291",NA,0.196222882555412,9.06803518668483,0.422023870835929,0.726777827767653,-7.27790898734125
"PA3945",NA,0.178489937080283,9.60804178176876,0.422017336576986,0.726777827767653,-7.27789829023105
"PA5064",NA,0.1640438973371,8.78805092318467,0.422417690053669,0.727031613569617,-7.27855324471972
"PA4978",NA,-0.111845039825245,8.00332694015781,0.422334894682924,0.727031613569617,-7.27841787250889
"PA0034",NA,-0.242361219292521,8.59939844857249,0.422615966825753,0.727160747819172,-7.2788772703563
"PA1525","alkB2",-0.0852507397829196,8.12230817735028,0.422842802526943,0.727338931460339,-7.27924768861838
"PA5056","phaC1",0.178341450330471,8.59045899736335,0.42323438032075,0.727800304253112,-7.27988642865424
"PA0587",NA,-0.420157623784283,8.90223324402227,0.423659724365574,0.728107303745088,-7.28057924683417
"PA2320","gntR",0.215691463988756,9.07182634220653,0.423628549884563,0.728107303745088,-7.28052850390093
"PA1008","bcp",0.157767120645861,9.17235938121324,0.424369473954972,0.729114704814891,-7.28173300052679
"PA4164",NA,-0.144464688193185,9.27613752734003,0.425059385819003,0.729777906631748,-7.28285173775451
"PA2965","fabF1",-0.138109399666966,8.98883206247558,0.425373935746878,0.729777906631748,-7.28336089743273
"PA0599",NA,0.133340395413727,8.34369433854309,0.425115289737256,0.729777906631748,-7.28294227032747
"PA2484",NA,0.125107073838834,8.81977201664922,0.425371456628096,0.729777906631748,-7.28335688671057
"PA3545","algG",-0.120367545715171,8.19863404400148,0.425181769430434,0.729777906631748,-7.28304990639514
"PA2559",NA,0.257085192880385,9.60721008397659,0.425878171629764,0.729955256195232,-7.28417592224492
"PA3584","glpD",-0.20583130669532,8.59737356464675,0.426095915650234,0.729955256195232,-7.28452742622797
"PA1684",NA,0.135953000436078,8.18164278149932,0.425811409274653,0.729955256195232,-7.28406809374831
"PA3476","rhlI",-0.112450378133229,8.02597644358847,0.425702099781255,0.729955256195232,-7.28389149214147
"PA2372",NA,-0.0670238551322111,6.55668542917707,0.425984893397283,0.729955256195232,-7.2843482368305
