"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PA0123_at",1.40570165637112,9.18754459742848,7.32721658018398,5.52801274951252e-05,0.00423713803728784,2.31543316453485
"PA3007_lexA_at",2.05953257353689,11.8275881966093,7.32617267948182,5.53395820365038e-05,0.00423713803728784,2.31432650844492
"PA0713_at",-1.75254403844213,10.3156792614287,-7.31442352110009,5.60136172271942e-05,0.00423713803728784,2.30186197307794
"PA3008_at",1.99193081116981,9.97120176156006,7.31108845225243,5.62065873169878e-05,0.00423713803728784,2.29832080504977
"PA2481_at",1.33858391831714,8.61179205771346,7.29984465912132,5.68625691250095e-05,0.00423713803728784,2.28637227094638
"PA4674_at",1.42667702220941,7.9557046532922,7.28985044817981,5.74527191496657e-05,0.00423713803728784,2.2757388046601
"ig_5243177_5242558_at",1.59304777370377,8.47549565078071,7.27084132132375,5.85938661465463e-05,0.00426794827487189,2.25548040296192
"PA4197_at",1.49549223393867,9.36009259034609,7.14790116366851,6.66039972485446e-05,0.00471398944795912,2.12339599749857
"PA0918_at",-1.30577464461875,10.1832053421988,-7.1409373656555,6.70924483602346e-05,0.00471398944795912,2.11585867149633
"PA2019_at",2.12428127322058,8.89747295583632,7.1334641894274,6.76210105175141e-05,0.00471398944795912,2.10776334770838
"PA2781_at",1.15793493009961,11.1929659195729,7.1237308826278,6.83162989452815e-05,0.00471398944795912,2.09720937397168
"PA0424_mexR_at",1.61911442057052,10.3931861201117,7.11823458490108,6.87123885634719e-05,0.00471398944795912,2.091244469873
"PA2755_eco_at",1.73680535294578,10.3809996041155,7.07186286995917,7.21564035802928e-05,0.00487691953441463,2.04076979439998
"PA0125_at",1.59255065824643,9.08781615991908,7.06423995588415,7.27404947505911e-05,0.00487691953441463,2.03244677602457
"PA2643_nuoH_at",-0.858899962165728,8.4850083459426,-7.05356143368558,7.35674676580337e-05,0.00487694448519549,2.02077531128151
"PA3410_at",0.83632871403918,9.86932186114145,7.02871197476433,7.55321362896664e-05,0.00495155115676702,1.99355998463886
"PA3730_at",1.39706305220443,8.09562667477451,7.00339980327151,7.75927982455677e-05,0.00503074186427307,1.96575823089813
"PA2973_at",1.4051151861935,10.7212582040504,6.94335096868042,8.27326984668664e-05,0.00530568392341861,1.89948012122765
"PA3050_pyrD_at",0.814867522445743,9.95137090803953,6.88039095637959,8.85263093914138e-05,0.00561618521945528,1.82949737885567
"PA4941_hflC_at",1.45520314155052,10.5031802874027,6.79862311434421,9.67253903011622e-05,0.00607106173166869,1.73785124969327
"PA3111_folC_at",1.12380605854609,9.92749252913286,6.76420875991891,0.000100422365745197,0.00623675745154384,1.69902136009478
"PA3770_guaB_at",1.56460553219248,9.65636086767838,6.74118995184995,0.000102981568041498,0.00632907553588374,1.67296331784369
"PA3162_rpsA_at",1.52513340442278,11.4451229535606,6.68955462499248,0.000108986458469405,0.00662907324710812,1.61425909999168
"PA3816_cysE_at",1.69270457157747,9.355234507133,6.66629396868974,0.000111816106790507,0.00667062166732183,1.58769999554556
"PA4919_pncB1_at",1.92168752399188,9.94968342584441,6.66536504487694,0.000111930770349976,0.00667062166732183,1.5866378710772
"PA5528_at",1.53552971383245,9.17287019738047,6.64421136323637,0.000114577125245691,0.00672828082278423,1.56242017410453
"PA0888_aotJ_at",1.69333972613214,9.65041277851983,6.6354703502186,0.00011569060101165,0.00672828082278423,1.55239584862698
"PA2769_at",0.739283008294791,8.46547336120631,6.63057455724128,0.000116319431173558,0.00672828082278423,1.54677687452917
"PA1896_at",-1.17305115256895,8.49561569165658,-6.60782587789513,0.000119290904188554,0.00683316829817933,1.52062632418277
"PA2853_oprI_at",-1.06028507835826,12.9526049168756,-6.57839673197629,0.000123259097270196,0.00683718647707715,1.48669459916921
"PA3141_wbpM_g_at",2.18072727271026,9.49940401822458,6.57569587715734,0.000123630462050281,0.00683718647707715,1.48357476063939
"PA2900_at",1.16215420342093,8.80225055917633,6.57304739550718,0.000123995816586057,0.00683718647707715,1.48051447816852
"PA4481_mreB_at",1.49541517890745,10.0588075092108,6.57304293633443,0.000123996432719874,0.00683718647707715,1.48050932487197
"PA3723_at",-1.3890349180026,10.0168082040561,-6.55657707478586,0.000126294603564829,0.00689942741696749,1.46146230909494
"PA4420_at",1.63749208209067,9.6329286802548,6.53449145558364,0.000129450733456781,0.00700696630637619,1.43585785298166
"PA3186_oprB_s_at",-1.71340834696474,11.6066650467997,-6.46288040689129,0.00014029342111392,0.00752482895065573,1.35238810455185
"PA0623_at",-0.605002087941815,10.8381708638443,-6.44182484199218,0.000143667860160653,0.0075389579182481,1.32771456831113
"PA2988_at",1.59618326199425,9.00004500862624,6.44009272881645,0.000143949386072663,0.0075389579182481,1.3256821627769
"PA0459_at",-1.13571629403727,8.64335173850205,-6.43575932558385,0.000144656357779423,0.0075389579182481,1.32059571189551
"PA1774_at",1.59292939228858,7.74484003518006,6.42252813705209,0.000146838587716587,0.0075389579182481,1.30504952855716
"PA2896_at",1.85130927720291,10.1668038552894,6.42188371186392,0.000146945789931954,0.0075389579182481,1.30429174652555
"PA1179_phoP_at",2.49957754942276,11.1076483403612,6.38146580933475,0.000153843778636879,0.0078248128789447,1.25665165503032
